cod_elemento,Latitud,Longitud
20210,4.306403,-74.206794
6042,4.771584,-73.808886
6043,4.757095,-73.76202
6044,4.737171,-73.70344
6045,4.719087,-73.706154
3020,4.623972,-73.691313
3021,4.526478,-73.715265
3022,4.473131,-73.729708
3512,4.455921,-73.673854
3023,4.410137,-73.807428
2046,4.462299,-73.772962
3024,4.517916,-73.778796
2049,4.643179,-73.825158
20199,4.660396,-73.961691
20200,4.723681,-73.88822
20642,4.689009,-73.996335
20201,4.521594,-74.059035
20202,4.764398,-74.014405
20531,4.858898,-74.025305
20203,4.521581,-74.219882
20204,4.521866,-74.084173
3025,4.409908,-73.690865
20209,4.635973,-74.230719
3026,4.490725,-73.654012
3027,4.523727,-73.646784
20205,4.526608,-74.167633
20206,4.442465,-74.13292
20211,4.588042,-74.245124
2048,4.190928,-74.213515
20207,4.658854,-74.164798
20208,4.77254,-74.072997
3031,4.455947,-73.723409
3032,4.722746,-73.795385
3033,4.713707,-73.803501
3035,4.515889,-73.703185
3034,4.483079,-73.730604
20061,4.675779,-74.106349
21008,4.758737,-74.15447
21071,4.774448,-74.10611
21072,4.486135,-73.660592
21073,4.357693,-73.719807
21074,4.568588,-74.154106
21075,4.71006,-74.031098
21076,4.330431,-73.63887
21077,4.78677,-73.793962
21078,4.463075,-74.129425
21079,4.509435,-74.16667
21080,4.65167,-74.118344
21081,4.616129,-74.31278
21082,4.483396,-74.099962
21083,4.561991,-74.188331
21084,4.86666,-74.300008
21085,4.621102,-74.147785
21086,4.738474,-74.125164
21087,4.633386,-74.083357
20212,4.660276,-74.144886
3030,4.451578,-73.672053
20301,4.945267,-73.996359
20302,4.750555,-74.124831
20303,4.70453,-73.986019
20304,4.73104,-74.126984
20305,4.996212,-73.971664
20306,4.66251,-74.148204
20307,4.629293,-74.217812
20308,4.591795,-74.245471
20309,4.708131,-73.994197
20310,4.79579,-74.095907
3521,4.538254,-73.759414
20312,4.548543,-74.058404
20313,4.578112,-74.023492
20314,4.521866,-74.084173
20315,4.588965,-74.036955
3037,4.549107,-73.765715
2058,4.65575,-73.833082
3038,4.672193,-73.766204
20319,4.332138,-74.136965
2050,4.73543,-73.866584
20321,4.654073,-74.149609
20322,4.573954,-74.072101
20323,4.591045,-74.054795
20324,4.701367,-73.994135
20325,4.531084,-74.172125
20326,4.69097,-74.025232
20327,4.573817,-74.12189
20331,4.82782,-74.04473
20332,4.73738,-74.120062
20333,4.72593,-74.139819
20334,4.696935,-74.165567
20335,4.645541,-74.178737
20336,4.610345,-74.18395
20337,4.498542,-74.121318
20338,4.399926,-74.140367
20339,4.620291,-74.052733
20340,4.555343,-74.060035
20341,4.407258,-74.158486
20342,4.574627,-74.170373
20343,4.68663,-74.123123
20344,4.626097,-74.088728
3029,4.563594,-73.809414
2060,4.652224,-73.829661
2061,5.500438,-73.806776
20350,4.795147,-74.02883
20351,4.727324,-74.124379
3040,4.48528,-73.662162
20345,4.64458,-74.040556
20346,4.678493,-74.076607
20352,4.479995,-74.120756
21043,4.686179,-74.079577
21057,4.713225,-74.134274
21047,4.643133,-74.24122
21049,4.490725,-73.654012
21051,4.48528,-73.662162
21045,4.62785,-74.043261
21059,4.361626,-73.718589
21060,4.644842,-74.040241
21061,4.6624,-74.161083
21062,4.713721,-74.009988
21063,4.629009,-74.092207
21064,4.62824,-74.091531
21065,4.974879,-73.971559
21066,4.858475,-74.025742
21067,4.609738,-74.064945
21068,4.773879,-74.07228
21069,4.526536,-74.167637
21070,4.795147,-74.02883
2016,4.563594,-73.809414
3028,4.563594,-73.809414
19016,3.96313,-74.356648
19012,3.96313,-74.356648
16012,3.854608,-74.369027
6001,4.324892,-73.929316
6004,3.887201,-74.22697
20025,4.299575,-74.200472
20530,4.527472,-74.057684
2001,4.324892,-73.929316
20077,4.873062,-74.039643
20653,4.605235,-74.185653
20550,4.873062,-74.039643
20556,4.733333,-74.083333
20067,4.740888,-74.133393
21012,4.385855,-74.137868
21035,4.479995,-74.120756
21011,4.386845,-74.17526
21010,4.371473,-74.176156
21021,4.570389,-74.140667
21026,4.712764,-74.033789
21041,4.626404,-73.71882
21033,4.588965,-74.036955
21032,4.616094,-74.052
21028,4.573817,-74.12189
21015,4.616527,-74.138656
21039,4.573954,-74.072101
21027,4.442465,-74.13292
