dpto_ccdgo,mpio_ccdgo,mpio_cdpmp,clas_ccdgo,setr_ccdgo,setr_ccnct,secr_ccdgo,secr_ccnct,zu_ccdgo,zu_cdivi,zu_cnmbre,zu_ccnct,zu_narea,zu_naltd,zu_nano,shape_Leng,shape_Area,AUrban,CZ_mean
"08","758","08758","1","000","087581000","00","08758100000","000","08758000",SOLEDAD,"08758100000000",37383664.63949999958,40.00000000000,2024,0.37560782773,0.00309104282,37353548.9900000021,30.5449767581686
"08","001","08001","1","000","080011000","00","08001100000","000","08001000","BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO","08001100000000",106172466.83799999952,72.00000000000,2024,1.31368934980,0.00878065146,106088890.2000000030,40.3904520326734
"81","001","81001","1","000","810011000","00","81001100000","000","81001000",ARAUCA,"81001100000000",23104025.04179999605,130.00000000000,2024,0.35850048508,0.00188467401,23025174.5399999991,128.535380897043
"68","547","68547","1","000","685471000","00","68547100000","000","68547000",PIEDECUESTA,"68547100000000",11470475.27690000087,1005.00000000000,2024,0.41927762992,0.00093838123,11448522.1099999994,1008.10755510422
"86","001","86001","1","000","860011000","00","86001100000","000","86001000",MOCOA,"86001100000000",6894551.21963000018,604.00000000000,2024,0.25454933780,0.00055909006,6897720.7840000000,650.632660403718
"52","001","52001","1","000","520011000","00","52001100000","000","52001000",SAN JUAN DE PASTO,"52001100000000",25304217.63360000029,2527.00000000000,2024,0.49530286778,0.00204973253,25326333.5300000012,2580.23539152477
"66","440","66440","1","000","664401000","00","66440100000","000","66440000",MARSELLA,"66440100000000",2365769.51486000000,1577.00000000000,2024,0.10239140259,0.00019273147,2365398.6699999999,1567.92982146886
"76","520","76520","1","000","765201000","00","76520100000","000","76520000",PALMIRA,"76520100000000",25312852.87339999899,1012.00000000000,2024,0.32080501330,0.00205714248,25318370.5000000000,1006.07469005077
"25","386","25386","1","000","253861000","00","25386100000","000","25386000",LA MESA,"25386100000000",3907076.17424000008,1246.00000000000,2024,0.15599643080,0.00031841189,3903191.7779999999,1281.09678342107
"05","209","05209","1","000","052091000","00","05209100000","000","05209000",CONCORDIA,"05209100000000",818880.52235800005,1950.00000000000,2024,0.09930755569,0.00006682076,818838.6548000000,1968.49433263143
