MpCodigo,MpNombre,MpArea,MpNorma,MpCategor,MpAltitud,Restriccio,Depto,ATotal,AUrban,ARural,CZTotal,CZUrban,CZRural,dpto_ccdgo,mpio_ccdgo,mpio_cdpmp,clas_ccdgo,setr_ccdgo,setr_ccnct,secr_ccdgo,secr_ccnct,zu_ccdgo,zu_cdivi,zu_cnmbre,zu_ccnct,zu_narea,zu_naltd,zu_nano,shape_Leng,shape_Area,AUrban_2,CZ__mean
"54553",Puerto Santander,46.31355792370,Ordenanza No. 80 de 1993,1,50,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Norte de Santander,46313557.9200000018,878234.3739000000,45435323.5300000012,55.2418648300,50.9061038000,55.2418648300,,,,,,,,,,,,,,,,,,,55.3266738686938
"54001",San José de Cúcuta,1132.15423194000,,1,325,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Norte de Santander,1132154231.0000000000,74332709.5600000024,1057821520.0000000000,240.0420941000,317.1020517000,240.0420941000,,,,,,,,,,,,,,,,,,,234.636168438684
"27006",Acandí,798.52829457300,,1,6,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Chocó,798528294.5000000000,1179708.7910000000,797348585.7000000477,259.0818296000,4.9842497090,259.0818296000,,,,,,,,,,,,,,,,,,,259.457912762292
"54810",Tibú,2674.68273912000,Ordenanza No. 03 de 1977,1,55,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Norte de Santander,2674682739.0000000000,3204566.9130000002,2671478172.0000000000,159.5172927000,67.7901363100,159.5172927000,,,,,,,,,,,,,,,,,,,159.62652311154
"54800",Teorama,924.83888340500,,1,1000,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Norte de Santander,924838883.2000000477,327891.0710000000,924510992.0000000000,804.9183033000,1084.1670100000,804.9183033000,,,,,,,,,,,,,,,,,,,804.818923905256
"54206",Convención,928.41495749900,,1,1020,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Norte de Santander,928414957.2000000477,876693.0777000000,927538264.0000000000,783.3248588000,1060.4448850000,783.3248588000,,,,,,,,,,,,,,,,,,,783.065276962298
"54245",El Carmen,1733.45063139000,,1,950,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Norte de Santander,1733450631.0000000000,289592.8058000000,1733161038.0000000000,969.5666691000,709.1903076000,969.5666691000,,,,,,,,,,,,,,,,,,,969.612282303745
"20228",Curumaní,913.66927714300,,1,61,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cesar,913669277.1000000238,5433336.0880000005,908235941.0000000000,435.6295601000,60.6766641200,435.6295601000,,,,,,,,,,,,,,,,,,,437.87357874674
"20178",Chiriguaná,1112.67927359000,,1,33,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cesar,1112679273.0000000000,3175444.3110000002,1109503828.0000000000,210.4538737000,34.0958221900,210.4538737000,,,,,,,,,,,,,,,,,,,210.958825432544
"20400",La Jagua De Ibirico,754.81560557600,Ordenanza No. 05 de 1979,1,140,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cesar,754815605.5000000000,4921608.6140000001,749893996.7000000477,485.2084000000,132.5597339000,485.2084000000,,,,,,,,,,,,,,,,,,,487.523925978814
"20045",Becerril,1224.38407708000,Ordenanza No. 020 de 1977,1,111,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cesar,1224384077.0000000000,2998685.5950000002,1221385391.0000000000,580.4995189000,110.2305935000,580.4995189000,,,,,,,,,,,,,,,,,,,581.656300406911
"20013",Agustín Codazzi,1750.99145863000,Decreto No. 179 de 1958,1,131,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cesar,1750991458.0000000000,11718173.6400000006,1739273284.0000000000,768.5440666000,130.6165399000,768.5440666000,,,,,,,,,,,,,,,,,,,772.828046877133
"20443",Manaure Balcón Del Cesar,136.64818885600,Ordenanza No. 019 de 1980,1,750,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cesar,136648188.8000000119,1861262.9120000000,134786925.8000000119,1552.2229100000,741.8116851000,1552.2229100000,,,,,,,,,,,,,,,,,,,1563.33065885164
"20621",La Paz,1070.94643419000,,1,66,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cesar,1070946434.0000000000,2969090.8530000001,1067977343.0000001192,1003.2202430000,157.9475720000,1003.2202430000,,,,,,,,,,,,,,,,,,,1005.50803605705
"44420",La Jagua Del Pilar,179.11241352700,,1,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,179112413.5000000000,435940.7205000000,178676472.5000000000,587.9554064000,201.3388371000,587.9554064000,,,,,,,,,,,,,,,,,,,589.028331071166
"44855",Urumita,245.48812461700,Ordenanza No. 16 de 1978,1,250,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,245488124.5000000000,2433084.5920000002,243055039.9000000060,1154.2834860000,244.2814324000,1154.2834860000,,,,,,,,,,,,,,,,,,,1163.04286394345
"44874",Villanueva,259.57278748400,,1,235,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,259572787.4000000060,5456625.8090000004,254116161.5000000000,597.3560021000,233.2841471000,597.3560021000,,,,,,,,,,,,,,,,,,,605.318260118001
"44110",El Molino,241.27165305400,Ordenanza No. 015 de 1989,1,255,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,241271653.0000000000,1443159.2810000000,239828493.5000000000,747.3279403000,248.7594947000,747.3279403000,,,,,,,,,,,,,,,,,,,750.293429190006
"44650",San Juan Del Cesar,1307.98197575000,,1,216,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,1307981975.0000000000,6854456.7580000004,1301127518.0000000000,756.7698239000,211.4086496000,756.7698239000,,,,,,,,,,,,,,,,,,,759.659331638948
"44279",Fonseca,472.51710450500,,1,181,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,472517104.3999999762,5517266.4050000003,466999838.0000000000,502.9514990000,181.2516781000,502.9514990000,,,,,,,,,,,,,,,,,,,506.76874638874
"44078",Barrancas,799.94753801700,,1,149,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,799947538.0000000000,6992070.6880000001,792955467.2000000477,398.8305752000,157.1708946000,398.8305752000,,,,,,,,,,,,,,,,,,,401.064191827586
"44378",Hatonuevo,215.20872087000,Ordenanza No. 057 de 1994,1,179,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,215208720.8000000119,2822738.9240000001,212385981.8000000119,392.2206065000,184.7293695000,392.2206065000,,,,,,,,,,,,,,,,,,,396.234613429233
"44035",Albania,544.11803552800,Ordenanza No. 01 de 2000,1,100,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,544118035.5000000000,8211384.8420000002,535906650.6000000238,119.8830312000,104.6073083000,119.8830312000,,,,,,,,,,,,,,,,,,,120.097806207292
"44430",Maicao,1767.24921322000,Decreto No. 0044 de 1956,1,51,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,1767249213.0000000000,21601228.0100000016,1745647984.0000000000,79.2957323100,50.9349916800,79.2957323100,,,,,,,,,,,,,,,,,,,79.6469042871513
"44847",Uribia,7863.72731964000,,1,23,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,La Guajira,7863727319.0000000000,7608533.4110000003,7856118785.0000009537,77.6871678600,24.6436351500,77.6871678600,,,,,,,,,,,,,,,,,,,77.7383993897501
"91798",Tarapacá,9039.83203029000,,3,100,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Amazonas,9039832030.0000000000,0.0000000000,9039832030.0000000000,115.9873106000,0.0000000000,115.9873106000,,,,,,,,,,,,,,,,,,,115.987310649067
"91263",El Encanto,10505.02095290000,,3,158,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Amazonas,10505020952.0000000000,0.0000000000,10505020952.0000000000,145.3612607000,0.0000000000,145.3612607000,,,,,,,,,,,,,,,,,,,145.361260725463
"91536",Puerto Arica,13523.50567140000,Ordenanza No. 023 de 1997,3,150,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Amazonas,13523505671.0000000000,0.0000000000,13523505671.0000000000,125.3778834000,0.0000000000,125.3778834000,,,,,,,,,,,,,,,,,,,125.377883403185
"91530",Puerto Alegría,8293.17570586000,Ordenanza No. 024 de 1997,3,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Amazonas,8293175705.0000000000,0.0000000000,8293175705.0000000000,180.7274961000,0.0000000000,180.7274961000,,,,,,,,,,,,,,,,,,,180.727496158748
"91407",La Pedrera,13579.86579390000,,3,82,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Amazonas,13579865793.0000000000,0.0000000000,13579865793.0000000000,121.0810542000,0.0000000000,121.0810542000,,,,,,,,,,,,,,,,,,,121.08105425354
"97511",Pacoa,13947.31504370000,,3,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Vaupés,13947315043.0000000000,0.0000000000,13947315043.0000000000,191.8343281000,0.0000000000,191.8343281000,,,,,,,,,,,,,,,,,,,191.834328146152
"97889",Yavaraté,4584.13896312000,Decreto No. 1510 de 1914,3,100,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Vaupés,4584138963.0000000000,0.0000000000,4584138963.0000000000,169.6834044000,0.0000000000,169.6834044000,,,,,,,,,,,,,,,,,,,169.683404480345
"94885",La Guadalupe,1137.44186733000,Decreto No. 0083 de 1988,3,80,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Guainía,1137441867.0000000000,0.0000000000,1137441867.0000000000,105.0303685000,0.0000000000,105.0303685000,,,,,,,,,,,,,,,,,,,105.030368542063
"97777",Papunaua,5531.67813911000,,3,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Vaupés,5531678139.0000000000,0.0000000000,5531678139.0000000000,216.4838519000,0.0000000000,216.4838519000,,,,,,,,,,,,,,,,,,,216.483851966147
"94887",Paná-Paná,10179.74645380000,Decreto No. 0083 de 1988,3,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Guainía,10179746453.0000000000,0.0000000000,10179746453.0000000000,177.6010266000,0.0000000000,177.6010266000,,,,,,,,,,,,,,,,,,,177.601026696183
"94883",San Felipe,2939.02363483000,Decreto No. 0083 de 1988,3,88,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Guainía,2939023634.0000000000,0.0000000000,2939023634.0000000000,113.3819815000,0.0000000000,113.3819815000,,,,,,,,,,,,,,,,,,,113.381981576005
"94884",Puerto Colombia,15615.45285530000,Decreto No. 0083 de 1988,3,96,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Guainía,15615452855.0000000000,0.0000000000,15615452855.0000000000,139.0348783000,0.0000000000,139.0348783000,,,,,,,,,,,,,,,,,,,139.034878314912
"94886",Cacahual,2310.68408812000,Decreto No. 0083 de 1988,3,100,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Guainía,2310684088.0000000000,0.0000000000,2310684088.0000000000,101.6775486000,0.0000000000,101.6775486000,,,,,,,,,,,,,,,,,,,101.677548604354
"73622",Roncesvalles,775.65671195600,Ordenanza No. 04 de 1944,1,2550,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Tolima,775656711.7000000477,294248.2558000000,775362463.2000000477,3016.8227680000,2588.5491580000,3016.8227680000,,,,,,,,,,,,,,,,,,,3016.98296786417
"63302",Génova,295.69690310700,Ordenanza No. 10 de 1937,1,1500,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Quindío,295696903.1000000238,518259.9491000000,295178643.1000000238,2480.3206970000,1441.4891730000,2480.3206970000,,,,,,,,,,,,,,,,,,,2482.15216372804
"76122",Caicedonia,167.13736158400,Ordenanza No. 21 de 1923,1,1167,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Valle del Cauca,167137361.5000000000,2888272.0940000000,164249089.4000000060,1404.4726310000,1152.4393160000,1404.4726310000,,,,,,,,,,,,,,,,,,,1408.95077996321
"63401",La Tebaida,89.44504826310,Decreto No. 547 de 1954,1,1175,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Quindío,89445048.2600000054,3436012.9440000001,86009035.3100000024,1137.2983860000,1189.4684020000,1137.2983860000,,,,,,,,,,,,,,,,,,,1135.22441289105
"76403",La Victoria,264.71875321600,,1,916,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Valle del Cauca,264718753.0000000000,2318487.4270000001,262400265.5000000000,1039.4429780000,924.1850417000,1039.4429780000,,,,,,,,,,,,,,,,,,,1040.46256262158
"73124",Cajamarca,508.38818731000,Decreto No. 0112 de 1908,1,1814,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Tolima,508388187.3000000715,691518.5894000002,507696668.6000000238,2829.0676890000,1837.6634020000,2829.0676890000,,,,,,,,,,,,,,,,,,,2830.46597997933
"76497",Obando,214.67490407200,,1,935,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Valle del Cauca,214674904.0000000000,2087510.4930000000,212587393.5000000000,1057.1068870000,935.2429301000,1057.1068870000,,,,,,,,,,,,,,,,,,,1058.30024116591
"73001",Ibagué,1376.57180066000,,1,1286,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Tolima,1376571800.0000000000,49870271.1000000015,1326701528.0000000000,1935.5697700000,1106.6599070000,1935.5697700000,,,,,,,,,,,,,,,,,,,1966.63159516785
"76020",Alcalá,62.33610447800,Ordenanza No. 12 de 1919,1,1220,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Valle del Cauca,62336104.4600000009,1127175.1990000000,61208929.2500000000,1255.2178690000,1240.8788220000,1255.2178690000,,,,,,,,,,,,,,,,,,,1255.48788871451
"63272",Filandia,106.60875846200,,1,1800,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Quindío,106608758.4000000060,829115.0542000000,105779643.2000000030,1725.7076990000,1897.5800780000,1725.7076990000,,,,,,,,,,,,,,,,,,,1724.37718170292
"76845",Ulloa,41.87225287000,Ordenanza No. 20 de 1925,1,1410,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Valle del Cauca,41872252.8500000015,451014.9097000000,41421237.9200000018,1255.9023260000,1380.4671870000,1255.9023260000,,,,,,,,,,,,,,,,,,,1254.49264199842
"76147",Cartago,248.18697479100,,1,917,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Valle del Cauca,248186974.5000000000,19367287.6200000010,228819686.8000000119,1004.3107910000,920.3285419000,1004.3107910000,,,,,,,,,,,,,,,,,,,1011.3934828896
"66001",Pereira,608.23913961500,,1,1415,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Risaralda,608239139.6000000238,33908021.2000000030,574331118.2000000477,1721.8284140000,1345.9789900000,1721.8284140000,,,,,,,,,,,,,,,,,,,1744.14553044519
"05234",Dabeiba,1957.69913043000,,1,412,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Antioquia,1957699129.0000000000,2489332.0850000000,1955209797.0000000000,1231.2720320000,447.6949933000,1231.2720320000,,,,,,,,,,,,,,,,,,,1232.27362697524
"05480",Mutatá,1075.02160678000,,1,132,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Antioquia,1075021606.0000000000,646830.1261000000,1074374775.0000000000,532.6000221000,131.7293012000,532.6000221000,,,,,,,,,,,,,,,,,,,532.841019615578
"05837",Turbo,2919.20647693000,Ley 1883 de 2018,2,1,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Antioquia,2919206477.0000000000,7766369.7800000003,2911440107.0000000000,91.8305390800,4.1415552140,91.8305390800,,,,,,,,,,,,,,,,,,,92.0508731389153
"88001",San Andrés,27.39898134440,Ley 1a de 1972,1,20,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,San Andrés y Providencia,27398981.3200000003,6621416.2690000003,20777565.0500000007,22.7629114000,8.6377028840,22.7629114000,,,,,,,,,,,,,,,,,,,27.0917824298046
"47053",Aracataca,1738.41352060000,,1,33,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Magdalena,1738413520.0000000000,3074064.6090000002,1735339455.0000000000,1964.3797940000,40.1622997500,1964.3797940000,,,,,,,,,,,,,,,,,,,1967.8232738589
"05079",Barbosa,205.60328450700,,1,1305,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Antioquia,205603284.5000000000,2786615.8980000000,202816668.5000000000,1782.0557420000,1303.7626950000,1782.0557420000,,,,,,,,,,,,,,,,,,,1788.46476121286
"05686",Santa Rosa De Osos,864.49904900800,,1,2588,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Antioquia,864499049.0000000000,5372387.8430000003,859126661.1000000238,2441.2093970000,2549.6677260000,2441.2093970000,,,,,,,,,,,,,,,,,,,2440.52959626351
"95001",San José Del Guaviare,16712.22066060000,Decreto No. 1165 de 1976,1,189,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Guaviare,16712220660.0000019073,6384429.9560000002,16705836230.0000019073,209.1701059000,186.6290058000,209.1701059000,,,,,,,,,,,,,,,,,,,209.178739131119
"50450",Puerto Concordia,1256.29517454000,Ordenanza No. 12 de 1989,1,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Meta,1256295174.0000000000,871574.3713000000,1255423599.0000000000,209.6138562000,190.2171218000,209.6138562000,,,,,,,,,,,,,,,,,,,209.627687009172
"50590",Puerto Rico,3405.72430421000,Ordenanza No. 10 de 1984,1,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Meta,3405724304.0000000000,1235015.9680000001,3404489288.0000000000,231.5475741000,217.2094409000,231.5475741000,,,,,,,,,,,,,,,,,,,231.55270791441
"50325",Mapiripán,11917.42601200000,Ordenanza No. 11 de 1989,1,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Meta,11917426011.0000000000,2664948.6150000002,11914761062.0000000000,207.2583517000,183.9011922000,207.2583517000,,,,,,,,,,,,,,,,,,,207.263567298544
"68162",Cerrito,420.06462982800,,1,2496,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Santander,420064629.8000000119,538061.2132000000,419526568.5000000000,3379.4628220000,2489.0845820000,3379.4628220000,,,,,,,,,,,,,,,,,,,3380.57752585644
"68318",Guaca,268.98355730300,,1,2311,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Santander,268983557.3000000119,589006.6842000000,268394550.5000000000,3074.3861060000,2323.8361950000,3074.3861060000,,,,,,,,,,,,,,,,,,,3076.02067218341
"68705",Santa Bárbara,178.27661866500,,1,1900,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Santander,178276618.5000000000,112504.2703000000,178164114.0000000000,2485.4070890000,1908.6452110000,2485.4070890000,,,,,,,,,,,,,,,,,,,2485.79112244959
"68820",Tona,330.12091890400,,1,1850,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Santander,330120918.8000000119,137323.4783000000,329983595.3000000119,2901.3217200000,1867.8285050000,2901.3217200000,,,,,,,,,,,,,,,,,,,2901.77258742631
"54174",Chitagá,1182.50538166000,,1,2337,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Norte de Santander,1182505381.0000000000,635701.8090000000,1181869679.0000000000,2587.4739050000,2320.3720300000,2587.4739050000,,,,,,,,,,,,,,,,,,,2587.61557947427
"54743",Silos,391.48988322500,,1,2750,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Norte de Santander,391489883.1000000238,263098.5159000000,391226784.5000000000,3364.6984410000,2721.4771650000,3364.6984410000,,,,,,,,,,,,,,,,,,,3365.17185926127
"15092",Betéitiva,101.66571222500,,1,2570,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Boyacá,101665712.2000000030,168199.8324000000,101497512.2000000030,2791.5357800000,2600.1511090000,2791.5357800000,,,,,,,,,,,,,,,,,,,2791.82388960834
"15162",Cerinza,63.45306988200,,1,3269,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Boyacá,63453069.8800000027,479541.9580000000,62973527.9200000018,3114.8387320000,2721.0567100000,3114.8387320000,,,,,,,,,,,,,,,,,,,3117.81187442462
"15087",Belén,162.77418716200,,1,3144,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Boyacá,162774187.0000000000,1093943.3350000000,161680243.5000000000,3043.3031450000,2642.3683760000,3043.3031450000,,,,,,,,,,,,,,,,,,,3046.06080879485
"15537",Paz De Rio,122.43929767900,,1,2213,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Boyacá,122439297.5000000000,973677.4151000000,121465620.0000000000,2897.2614250000,2249.5899880000,2897.2614250000,,,,,,,,,,,,,,,,,,,2902.46199499356
"08078",Baranoa,121.19291720700,,1,116,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Atlántico,121192917.2000000030,5514765.6730000004,115678151.5000000000,128.8355545000,115.3000596000,128.8355545000,,,,,,,,,,,,,,,,,,,129.478605881451
"08372",Juan De Acosta,167.89209581600,,1,50,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Atlántico,167892095.8000000119,2318979.2400000002,165573116.5000000000,70.8059810700,45.4209426800,70.8059810700,,,,,,,,,,,,,,,,,,,71.1586583120252
"08296",Galapa,97.51651800250,,1,87,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Atlántico,97516518.0000000000,10309559.6600000001,87206958.3100000024,84.2415816700,59.6342071400,84.2415816700,,,,,,,,,,,,,,,,,,,87.1808982894696
"08832",Tubará,183.00111430400,,1,268,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Atlántico,183001114.3000000119,1005924.7060000000,181995189.5000000000,98.4909954400,253.9254694000,98.4909954400,,,,,,,,,,,,,,,,,,,97.6449179526077
"63548",Pijao,247.95786548700,,1,1650,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Quindío,247957865.4000000060,654761.5152000000,247303103.8000000119,2403.0855250000,1665.7956180000,2403.0855250000,,,,,,,,,,,,,,,,,,,2405.01853389748
