MpCodigo,MpNombre,MpArea,MpNorma,MpCategor,MpAltitud,Restriccio,Depto,ATotal,AUrban,ARural,CZ_mean
"52254",El Peñol,121.23733344700,Ordenanza No. 36 de 1998,1,1650,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,121237333.4000000060,360405.5568000000,120876927.7999999970,1125.66684550387
"52083",Belén,41.87539432340,Ordenanza No. 53 de 1985,1,2450,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,41875394.3200000003,331386.2106000000,41544008.1000000015,2443.96634869185
"52378",La Cruz,238.99919376200,,1,2500,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,238999193.5000000000,795364.1481000000,238203829.3000000119,2920.88003147334
"52385",La Llanada,245.28129917100,Ordenanza No. 26 de 1989,1,2300,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,245281299.0000000000,430967.3937000000,244850331.5999999940,1439.46420614915
"52687",San Lorenzo,249.35123267300,,1,1950,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,249351232.5000000000,293841.4448000000,249057391.0000000000,1752.48812642896
"52203",Colón,61.79495732510,,1,1750,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,61794957.3200000003,189700.9999000000,61605256.3200000003,1981.08082869223
"52786",Taminango,234.80328352700,,1,1375,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,234803283.5000000000,368344.7044000000,234434938.6999999881,1104.54551724111
"52399",La Unión,142.26366762800,,1,1727,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,142263667.5000000000,1332153.7430000000,140931513.6999999881,1566.10317714929
"52693",San Pablo,111.93413521600,,1,1750,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,111934135.2000000030,862117.2878000000,111072017.9000000060,2300.00381836087
"97161",Carurú,6349.02552019000,Ordenanza No. 03 de 1993,1,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Vaupés,6349025520.0000000000,884364.9368000000,6348141155.0000000000,235.077381500622
"19290",Florencia,56.69489360930,Ordenanza No. 01 de 1993,1,1500,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,56694893.6000000015,128586.4921000000,56566307.1000000015,1609.19395629754
"18094",Belén De Los Andaquíes,1191.55051045000,Decreto No. 0963 de 1950,1,313,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,1191550510.0000000000,932977.5088000000,1190617532.0000000000,792.59750686657
"18410",Montañita,1700.23556381000,Decreto No. 83 de 1955,1,237,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Caquetá,1700235563.0000000000,416573.4538000000,1699818989.0000000000,335.676214768884
"41530",Palestina,196.96126112500,Ordenanza No. 02 de 1984,1,1740,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,196961261.0000000000,277997.7880000000,196683263.1999999881,1963.56158661773
"41006",Acevedo,521.80677226600,,1,1563,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Huila,521806772.1000000238,1107518.2150000001,520699253.8000000119,1683.12573155563
"19701",Santa Rosa,3620.75583337000,,1,1750,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Cauca,3620755833.0000000000,373332.5471000001,3620382500.0000000000,2070.45581517301
"52418",Los Andes,957.96688570000,,1,1550,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,957966885.6000000238,658324.4496000002,957308561.1000000238,1000.5334130245
