,DEPARTAMENTO,nombre,latitud,longitud,altitud,ThermalLevelValue
178,Santander,VIZCAINA LA LIZAMA  - AUT [24055080],6.98297222,-73.70488889,114,"Cálido, T>=24°C, <=800meter"
160,Santander,MOGOTES - AUT [24025090],6.47,-72.96888889,1673,"Templado, 24°C>T>18°C, <=1800meter"
99,Cundinamarca,TIBAITATA - AUT [21206990],4.69141667,-74.209,2543,"Frío, 18°C>T>12°C, <=2800meter"
4286,Cundinamarca,TIBAITATA - AUT [21206990],4.69,-74.21,2543,"Frío, 18°C>T>12°C, <=2800meter"
172,Norte de Santander,PUENTE CAPIRA - AUT [16027300],7.53719444,-72.77113889,1320,"Templado, 24°C>T>18°C, <=1800meter"
242,Norte de Santander,PUENTE CAPIRA [16057080],7.5,-72.76666667,1320,"Templado, 24°C>T>18°C, <=1800meter"
2581,Córdoba,REPRESA URRA [13015040],8.01416667,-76.20305556,300,"Cálido, T>=24°C, <=800meter"
235,Córdoba,INCODER - AUT [13055040],8.74694444,-75.91388889,37,"Cálido, T>=24°C, <=800meter"
3837,Antioquia,VEGACHI - AUT [23105060],6.77411111,-74.79652778,990,"Templado, 24°C>T>18°C, <=1800meter"
3814,Antioquia,SANTA ISABEL VALDIVIA - AUT [26255030],7.15722222,-75.442275,1131,"Templado, 24°C>T>18°C, <=1800meter"
175,Antioquia,PARAMO BELMIRA - AUT [27015280],6.63202778,-75.64444444,3221,"Muy Frío, 12°C>T>6°C, <=3700meter"
101,Cundinamarca,PARAMO CHINGAZA  - AUT [35035130],4.71366667,-73.80325,3863,"Extremadamente Frio, 6°C>T>0°C, <=4700meter"
292,Antioquia,HACIENDA COTOVE - AUT [26225060],6.53391667,-75.82733333,534,"Cálido, T>=24°C, <=800meter"
158,Antioquia,JERICO - AUT [26185030],5.79916667,-75.78952778,2313,"Frío, 18°C>T>12°C, <=2800meter"
155,Antioquia,SANTA BARBARA - AUT [26185050],5.85958333,-75.55627778,1680,"Templado, 24°C>T>18°C, <=1800meter"
327,Cundinamarca,PARAMO GUERRERO  - AUT [21206930],5.08644444,-74.02216667,3257,"Muy Frío, 12°C>T>6°C, <=3700meter"
83,Cundinamarca,SAN CAYETANO - AUT [23125170],5.33333333,-74.01666667,2807,"Muy Frío, 12°C>T>6°C, <=3700meter"
210,Sucre,EL TESORO IDEAM  - AUT [25025280],9.35708333,-75.28925,168,"Cálido, T>=24°C, <=800meter"
147,Boyacá,AQUITANIA - AUT [35095120],5.55663889,-72.88175,321,"Cálido, T>=24°C, <=800meter"
152,Boyacá,SOCHA - AUT [24035360],5.98541667,-72.99702778,2503,"Frío, 18°C>T>12°C, <=2800meter"
128,Cundinamarca,VILLETA - AUT [23065180],5.01686111,-74.47097222,878,"Templado, 24°C>T>18°C, <=1800meter"
127,Boyacá,ZETAQUIRA - AUT [35085060],5.29494444,-73.16994444,1436,"Templado, 24°C>T>18°C, <=1800meter"
142,Boyacá,SAN PABLO DE BORBUR  - AUT [23125160],5.64702778,-74.07130556,742,"Cálido, T>=24°C, <=800meter"
156,Boyacá,TUNGUAVITA - AUT [24035430],5.74591667,-73.11636111,2470,"Frío, 18°C>T>12°C, <=2800meter"
2720,"Archipiélago de San Andres, Providencia y Santa Catalina",AEROPUERTO SESQUICENTEN [17015020],12.54218333,-81.73096944,1,"Cálido, T>=24°C, <=800meter"
1810,Vichada,PROY.CENTRAL HIDRO [38017080],5.52594444,-68.74972222,53,"Cálido, T>=24°C, <=800meter"
125,Boyacá,CHINAVITA - AUT [35075070],5.21925,-73.35038889,212,"Cálido, T>=24°C, <=800meter"
