,nombre,latitud,longitud,altitud,ThermalLevelValue
259,AEROPUERTO MATECANA [26135040],4.81586111,-75.73722222,1342,"Templado, 24°C>T>18°C, <=1800meter"
4115,AEROPUERTO MITU [42065010],1.26666667,-70.23333333,207,"Cálido, T>=24°C, <=800meter"
249,AEROPUERTO LA FLORIDA [51035010],1.8,-78.76666667,3,"Cálido, T>=24°C, <=800meter"
1431,AEROPUERTO FARFAN [26105160],4.09008333,-76.22358333,980,"Templado, 24°C>T>18°C, <=1800meter"
3973,RAQUIRA [24010040],5.53877778,-73.63136111,2290,"Frío, 18°C>T>12°C, <=2800meter"
3523,CARTAGENA [14019010],10.38720833,-75.52989722,0,"Cálido, T>=24°C, <=800meter"
1083,AEROPUERTO SANTAGUEDA [26155120],5.08333333,-75.68333333,933,"Templado, 24°C>T>18°C, <=1800meter"
3100,AEROPUERTO SANTIAGO PÉREZ [37055010],7.06944444,-70.73805556,128,"Cálido, T>=24°C, <=800meter"
839,TULIO OSPINA [27015090],6.31969444,-75.55325,1453,"Templado, 24°C>T>18°C, <=1800meter"
2102,PANTANO REDONDO 1 [21201060],5.04325,-74.03338889,3160,"Muy Frío, 12°C>T>6°C, <=3700meter"
1512,DOS AGUAS LAS [21170020],4.25827778,-74.78361111,3394,"Muy Frío, 12°C>T>6°C, <=3700meter"
1514,AEROPUERTO SANTIAGO VILA [21185040],4.27544444,-74.798,305,"Cálido, T>=24°C, <=800meter"
1511,MONTERREDONDO [35020010],4.25444444,-73.82333333,1300,"Templado, 24°C>T>18°C, <=1800meter"
10,TUMACO - AUT [51039010],1.81930556,-78.73027778,0,"Cálido, T>=24°C, <=800meter"
2009,VIRGINIA LA [26140330],4.9,-75.88333333,950,"Templado, 24°C>T>18°C, <=1800meter"
2211,SUAREZ [26050060],2.95455556,-76.69611111,1095,"Templado, 24°C>T>18°C, <=1800meter"
3171,RISARALDA [16025020],8.23333333,-72.53333333,90,"Cálido, T>=24°C, <=800meter"
2115,ROSAS [52010040],2.26238889,-76.73775,1750,"Templado, 24°C>T>18°C, <=1800meter"
3851,AEROPUERTO LAS FLORES [25025090],9.04633333,-73.97083333,34,"Cálido, T>=24°C, <=800meter"
387,COLORADOS  - AUT [23067020],5.4695,-74.59338889,309,"Cálido, T>=24°C, <=800meter"
3996,BODEGA CEDELCA [26020050],2.48333333,-76.58333333,220,"Cálido, T>=24°C, <=800meter"
659,AEROPUERTO SIMON BOLIVAR [15015050],11.12833333,-74.22888889,4,"Cálido, T>=24°C, <=800meter"
98,EL ALAMBRADO [26127010],4.41025,-75.87538889,1051,"Templado, 24°C>T>18°C, <=1800meter"
438,DONJUANA LA 1 [16010080],7.7,-72.6,770,"Cálido, T>=24°C, <=800meter"
1115,TAMBO [26030050],2.45597222,-76.81111111,1742,"Templado, 24°C>T>18°C, <=1800meter"
2335,CABUYAL [26060020],3.32022222,-76.34661111,1003,"Templado, 24°C>T>18°C, <=1800meter"
3956,PENON EL [26070090],3.31666667,-76.23333333,1200,"Templado, 24°C>T>18°C, <=1800meter"
3599,OBONUCO [52045010],1.19822222,-77.30308333,2710,"Frío, 18°C>T>12°C, <=2800meter"
2506,FLORIDA [26070760],3.32777778,-76.23913889,1059,"Templado, 24°C>T>18°C, <=1800meter"
647,PALMA CENTRAL [13077030],9.19561111,-75.81819444,6,"Cálido, T>=24°C, <=800meter"
1825,PUENTE CARRETERA [26027030],2.86666667,-76.53333333,1305,"Templado, 24°C>T>18°C, <=1800meter"
908,CUCHARO EL [24025020],6.53222222,-73.19916667,975,"Templado, 24°C>T>18°C, <=1800meter"
1331,GUAMO [21185030],4.00883333,-74.98138889,332,"Cálido, T>=24°C, <=800meter"
2608,AEROPUERTO BARACOA [25025100],9.28194444,-74.84527778,18,"Cálido, T>=24°C, <=800meter"
719,COMODA LA [24010110],6.07694444,-73.46916667,1520,"Templado, 24°C>T>18°C, <=1800meter"
1255,TIBAITATA [21205420],4.69141667,-74.209,2543,"Frío, 18°C>T>12°C, <=2800meter"
4300,TIBAITATA [21205420],4.69,-74.21,2543,"Frío, 18°C>T>12°C, <=2800meter"
3594,CERETE [13070380],8.88508333,-75.79741667,20,"Cálido, T>=24°C, <=800meter"
3858,EL PROFUNDO - AUT [21197010],4.01169444,-74.50444444,1860,"Frío, 18°C>T>12°C, <=2800meter"
831,CHARALA [24020030],6.27416667,-73.15055556,1350,"Templado, 24°C>T>18°C, <=1800meter"
738,ENCINO [24020040],6.13833333,-73.09805556,1814,"Frío, 18°C>T>12°C, <=2800meter"
2428,GUANQUICA,5.18427778,-73.94111111,3,"Cálido, T>=24°C, <=800meter"
3310,SAN GIL [24027010],6.54666667,-73.12805556,1113,"Templado, 24°C>T>18°C, <=1800meter"
1847,SANTA MARIA [35077040],4.86666667,-73.26666667,850,"Templado, 24°C>T>18°C, <=1800meter"
3189,LABATECA [37010010],7.29805556,-72.50055556,1560,"Templado, 24°C>T>18°C, <=1800meter"
416,EL PALO - AUT [24037030],5.68172222,-73.23113889,2600,"Frío, 18°C>T>12°C, <=2800meter"
3251,SONSON [26187030],5.69519444,-75.31377778,580,"Cálido, T>=24°C, <=800meter"
494,FONSECA [15060190],10.9,-72.83333333,180,"Cálido, T>=24°C, <=800meter"
1880,PLAYA LA [21190080],4.18333333,-74.5,675,"Cálido, T>=24°C, <=800meter"
1923,SIERRA LA [21250070],4.80011111,-74.93569444,472,"Cálido, T>=24°C, <=800meter"
885,GUICAN [24037040],6.45397222,-72.40305556,2827,"Muy Frío, 12°C>T>6°C, <=3700meter"
2419,CHINAVITA [35070070],5.16486111,-73.36425,1900,"Frío, 18°C>T>12°C, <=2800meter"
3284,CUCUTILLA [16020080],7.53416667,-72.77277778,1280,"Templado, 24°C>T>18°C, <=1800meter"
4002,BALSAYACO-LA MARIA [47017080],1.11666667,-76.96666667,265,"Cálido, T>=24°C, <=800meter"
2539,CARLOSAMA [52057040],0.84416667,-77.68588889,2920,"Muy Frío, 12°C>T>6°C, <=3700meter"
527,SALAZAR [16020390],7.78333333,-72.8,870,"Templado, 24°C>T>18°C, <=1800meter"
3048,MONTERIA [13075060],8.75,-75.88333333,20,"Cálido, T>=24°C, <=800meter"
3247,MOTILONIA CODAZZI [28025070],10.00180556,-73.24938889,180,"Cálido, T>=24°C, <=800meter"
890,SOCORRO [24010780],6.43333333,-73.26666667,1240,"Templado, 24°C>T>18°C, <=1800meter"
767,SAN ANDRES [24030270],6.83,-72.84416667,1702,"Templado, 24°C>T>18°C, <=1800meter"
3665,LA COCHA [47017020],0.98972222,-77.15722222,2850,"Muy Frío, 12°C>T>6°C, <=3700meter"
4090,RICAURTE [51027010],1.16666667,-77.96666667,1149,"Templado, 24°C>T>18°C, <=1800meter"
