,nombre,latitud,longitud,altitud,ThermalLevelValue
2956,BUENAVISTA [27030160],7.43333333,-74.66666667,375,"Cálido, T>=24°C, <=800meter"
3105,ESPERANZA LA HACIENDA [24065020],7.06666667,-73.3,520,"Cálido, T>=24°C, <=800meter"
561,ESMERALDA LA [13025020],7.83333333,-76.25,170,"Cálido, T>=24°C, <=800meter"
3134,PALMA DE COCO LA [27030140],7.23611111,-74.80794444,100,"Cálido, T>=24°C, <=800meter"
2924,PATIO BONITO 2 [27030190],7.21666667,-74.83333333,363,"Cálido, T>=24°C, <=800meter"
341,SANTA ROSA D SIMITI [23205030],7.96527778,-74.05916667,650,"Cálido, T>=24°C, <=800meter"
553,SANTA ROSA [25021090],9.09333333,-74.31388889,40,"Cálido, T>=24°C, <=800meter"
2936,BOCAS DE CANA [27017480],7.4,-74.91666667,250,"Cálido, T>=24°C, <=800meter"
448,ASI ES LA VIDA [27030150],7.73333333,-74.58333333,492,"Cálido, T>=24°C, <=800meter"
3356,SAN RAFAEL [23197370],7.57805556,-73.56055556,78,"Cálido, T>=24°C, <=800meter"
3941,PUENTE CARRETERA [26107160],4.08333333,-76.18333333,958,"Templado, 24°C>T>18°C, <=1800meter"
2085,CRUCES LAS [21140120],3.42586111,-74.92025,1400,"Templado, 24°C>T>18°C, <=1800meter"
3063,MACARENA LA HACIENDA [27010680],7.05,-74.85,500,"Cálido, T>=24°C, <=800meter"
3520,BELLA CRUZ [23215040],8.63333333,-73.63333333,140,"Cálido, T>=24°C, <=800meter"
1399,PUENTE YOPAL  - AUT [35217010],5.369,-72.41372222,343,"Cálido, T>=24°C, <=800meter"
965,LA BODEGA - AUT [23107020],6.73219444,-74.40694444,149,"Cálido, T>=24°C, <=800meter"
2579,ISLANDIA [28027160],9.63252778,-73.63572222,45,"Cálido, T>=24°C, <=800meter"
2327,CHAMEZA [35190030],5.20438889,-72.90288889,180,"Cálido, T>=24°C, <=800meter"
1496,MORRO EL [35210010],5.45305556,-72.45625,656,"Cálido, T>=24°C, <=800meter"
2262,TAMARINDO [35190040],5.00952778,-72.54405556,290,"Cálido, T>=24°C, <=800meter"
3359,NORMA LA [23190420],7.56666667,-73.56666667,124,"Cálido, T>=24°C, <=800meter"
2616,CERRO BAHIA [13070240],9.3,-75.85,50,"Cálido, T>=24°C, <=800meter"
2277,TAURAMENA,5.02725778,-72.86984167,460,"Cálido, T>=24°C, <=800meter"
1607,PRADERA LA [35180010],4.93736111,-72.66588889,180,"Cálido, T>=24°C, <=800meter"
1535,NARINO [21230060],4.39861111,-74.82555556,289,"Cálido, T>=24°C, <=800meter"
3396,TITUMATE [11150010],8.30805556,-77.07583333,11,"Cálido, T>=24°C, <=800meter"
413,LOS ESTEROS,5.17969444,-72.56838889,368,"Cálido, T>=24°C, <=800meter"
1342,ITALIA LA [26100790],4.05722222,-75.80575,2809,"Muy Frío, 12°C>T>6°C, <=3700meter"
2179,VIOTA [21201090],4.44269444,-74.54225,567,"Cálido, T>=24°C, <=800meter"
2308,JERUSALEN [21235010],4.56180556,-74.70238889,297,"Cálido, T>=24°C, <=800meter"
3357,ORIENTE EL [27030220],7.56666667,-74.66666667,400,"Cálido, T>=24°C, <=800meter"
3092,MARIA LA [29060200],10.54066667,-74.18697222,30,"Cálido, T>=24°C, <=800meter"
1473,ZARZAL [26100780],4.38305556,-76.0735,953,"Templado, 24°C>T>18°C, <=1800meter"
4031,LONDRE EL [27030130],7.46666667,-74.65,10,"Cálido, T>=24°C, <=800meter"
1443,CEILAN [26100770],4.11430556,-76.04252778,1382,"Templado, 24°C>T>18°C, <=1800meter"
4030,SALAQUI [11120010],7.43333333,-77.28333333,20,"Cálido, T>=24°C, <=800meter"
3787,MAJAGUAL,8.54,-74.53,26,"Cálido, T>=24°C, <=800meter"
2929,LIBERTAD LA [23207030],8.33333333,-73.85,41,"Cálido, T>=24°C, <=800meter"
2915,MEDIA LUNA [27027080],7.20305556,-75.31891667,480,"Cálido, T>=24°C, <=800meter"
549,ICOTEAS LAS [13070330],9.05,-75.76666667,20,"Cálido, T>=24°C, <=800meter"
2914,PUENTE ANORI [27027090],7.20194444,-75.31577778,600,"Cálido, T>=24°C, <=800meter"
1390,SAN LUIS  PALENQUE [35230010],5.4205,-71.72805556,170,"Cálido, T>=24°C, <=800meter"
3528,SALENTO [26120160],4.63627778,-75.56916667,1926,"Frío, 18°C>T>12°C, <=2800meter"
3142,MARGARITAS LAS [27020280],7.25,-75.26666667,800,"Cálido, T>=24°C, <=800meter"
1961,TIBACUY [21190250],4.35,-74.45,1550,"Templado, 24°C>T>18°C, <=1800meter"
2876,TANELA [11150020],8.16291667,-77.04041667,2,"Cálido, T>=24°C, <=800meter"
1090,SAN JOSE [35190070],5.09191667,-72.45858333,190,"Cálido, T>=24°C, <=800meter"
3430,TRES Y MEDIO [27027070],7.4,-74.95,258,"Cálido, T>=24°C, <=800meter"
2342,PUENTE CHARTE [35197040],5.25647222,-72.48594444,291,"Cálido, T>=24°C, <=800meter"
1950,PIJAO [26120170],4.33275,-75.70627778,1685,"Templado, 24°C>T>18°C, <=1800meter"
1158,NOGALES ALTAGRACIA [26100800],3.88866667,-76.06583333,2507,"Frío, 18°C>T>12°C, <=2800meter"
483,ENANO EL [29060160],10.90219444,-74.18947222,25,"Cálido, T>=24°C, <=800meter"
2422,SURAL EL [35195010],5.15,-72.5,250,"Cálido, T>=24°C, <=800meter"
2039,LUCERNA HACIENDA [26100070],4.22380556,-76.14730556,964,"Templado, 24°C>T>18°C, <=1800meter"
2755,BRISAS DEL NECHI  - AUT [27027060],6.93969444,-75.38083333,1880,"Frío, 18°C>T>12°C, <=2800meter"
954,ABRIAQUI [11110020],6.6425,-76.075,1920,"Frío, 18°C>T>12°C, <=2800meter"
3830,BARRANQUILLITA [12010030],7.57,-76.7,18,"Cálido, T>=24°C, <=800meter"
1795,SAN JUAN D RIOSECO [21230070],4.85127778,-74.62283333,1364,"Templado, 24°C>T>18°C, <=1800meter"
2183,CARACOL EL [35077120],5.05686111,-73.39033333,1298,"Templado, 24°C>T>18°C, <=1800meter"
4457,PTE FIERRO  - AUT  [35077080],4.98,-73.46,1335,"Templado, 24°C>T>18°C, <=1800meter"
3898,SALITRE EL [35077070],4.98333333,-73.48333333,1285,"Templado, 24°C>T>18°C, <=1800meter"
1151,PURIFICACION  2 [21137070],3.86666667,-74.95,310,"Cálido, T>=24°C, <=800meter"
2246,ANZOATEGUI [21240070],4.6375,-75.09,1814,"Frío, 18°C>T>12°C, <=2800meter"
1164,VENADILLO [21250460],4.66380556,-74.91775,430,"Cálido, T>=24°C, <=800meter"
364,ARMERO GJA-C UNIVE [21250510],4.96666667,-74.91666667,390,"Cálido, T>=24°C, <=800meter"
91,ANGOSTURA  - AUT [21137050],3.44,-75.12,345,"Cálido, T>=24°C, <=800meter"
3451,BAYANO [29060350],10.63116667,-74.29858333,30,"Cálido, T>=24°C, <=800meter"
3942,RAFAELA LA [26100820],4.11666667,-76.2,928,"Templado, 24°C>T>18°C, <=1800meter"
1862,BORBUR 2 [23120250],5.64963889,-74.06872222,681,"Cálido, T>=24°C, <=800meter"
186,LA ESPERANZA NECHI [27037010],8.03,-74.79,33,"Cálido, T>=24°C, <=800meter"
1857,BORBUR  - AUT [23127010],5.64938889,-74.05502778,457,"Cálido, T>=24°C, <=800meter"
1471,NARANJAL [54030020],4.35691667,-76.35341667,1179,"Templado, 24°C>T>18°C, <=1800meter"
1016,FREDONIA [26200150],5.93675,-75.68511111,1650,"Templado, 24°C>T>18°C, <=1800meter"
2389,CUMBRE LA [53110100],3.64786111,-76.56638889,1628,"Templado, 24°C>T>18°C, <=1800meter"
907,GUASABRA [26210130],6.50333333,-75.95583333,1800,"Templado, 24°C>T>18°C, <=1800meter"
721,CLARA LA [27015160],6.06666667,-75.6,2500,"Frío, 18°C>T>12°C, <=2800meter"
526,PIAMONTE [26250090],7.78333333,-75.2,80,"Cálido, T>=24°C, <=800meter"
3198,PUERTO VALDIVIA [26240120],7.3,-75.43333333,125,"Cálido, T>=24°C, <=800meter"
2387,PROVIDENCIA [53110030],3.63305556,-76.71527778,1601,"Templado, 24°C>T>18°C, <=1800meter"
3425,ACHI [25027160],8.55997222,-74.55386111,28,"Cálido, T>=24°C, <=800meter"
777,SABANALARGA [26230200],6.846,-75.81480556,10,"Cálido, T>=24°C, <=800meter"
3427,HOYO RICO [26240080],7.38333333,-75.45,138,"Cálido, T>=24°C, <=800meter"
1884,OTANCHE [23125080],5.66172222,-74.18461111,1100,"Templado, 24°C>T>18°C, <=1800meter"
269,LA RAYA [25027910],8.34455556,-74.56122222,1600,"Templado, 24°C>T>18°C, <=1800meter"
2142,JUNTAS LAS [26090060],3.77322222,-76.16555556,1826,"Frío, 18°C>T>12°C, <=2800meter"
2667,ALJIBE SANTA CRUZ [15087060],12.21666667,-71.33333333,60,"Cálido, T>=24°C, <=800meter"
4478,NOANAMA ASERRIO [54057010],4.67,-76.93,36,"Cálido, T>=24°C, <=800meter"
3370,TARAZA [26245030],7.58333333,-75.4,120,"Cálido, T>=24°C, <=800meter"
1635,SANTA HELENA [22070030],4.12455556,-75.49952778,2606,"Frío, 18°C>T>12°C, <=2800meter"
2665,ANUHAPA [15087070],12.2,-71.31666667,70,"Cálido, T>=24°C, <=800meter"
1242,LA PLATA [35130010],3.95608333,-72.76572222,225,"Cálido, T>=24°C, <=800meter"
732,SANTA ROSA  - AUT [23127060],6.29194444,-74.09833333,154,"Cálido, T>=24°C, <=800meter"
760,VEGACHI [23105030],6.77411111,-74.79652778,990,"Templado, 24°C>T>18°C, <=1800meter"
3377,BAGRE EL [27047010],7.61666667,-74.8,160,"Cálido, T>=24°C, <=800meter"
836,CIMITARRA [23125120],6.30861111,-73.95222222,198,"Cálido, T>=24°C, <=800meter"
3138,GRANJA LA [26220100],7.24963889,-75.73408333,1950,"Frío, 18°C>T>12°C, <=2800meter"
2965,CASA DE PIEDRA [29030500],9.87388889,-75.21583333,60,"Cálido, T>=24°C, <=800meter"
937,YOLOMBO [23100040],6.59427778,-75.01091667,965,"Templado, 24°C>T>18°C, <=1800meter"
2989,CALMA LA [29030450],9.93297222,-75.26238889,60,"Cálido, T>=24°C, <=800meter"
3919,COTOVE HACIENDA [26225030],6.53391667,-75.82733333,534,"Cálido, T>=24°C, <=800meter"
2986,PLATANO [29030530],9.91916667,-75.23583333,60,"Cálido, T>=24°C, <=800meter"
1739,LOMITAS [26020380],3.07538889,-76.55625,19,"Cálido, T>=24°C, <=800meter"
751,ARMENIA [26200140],6.15797222,-75.77152778,1800,"Templado, 24°C>T>18°C, <=1800meter"
787,PADILLA [23115020],6.2,-74.36666667,100,"Cálido, T>=24°C, <=800meter"
2358,TUNEZ HACIENDA [26175040],5.80025,-75.65097222,604,"Cálido, T>=24°C, <=800meter"
56,GALINDO [25027880],8.3,-74.58333333,33,"Cálido, T>=24°C, <=800meter"
793,ALTAMIRA [26210140],6.21852778,-75.9455,232,"Cálido, T>=24°C, <=800meter"
894,AEROPUERTO PUERTO BERRIO [23095010],6.465,-74.41222222,150,"Cálido, T>=24°C, <=800meter"
2824,MIRANDA [29030490],9.81666667,-75.31666667,60,"Cálido, T>=24°C, <=800meter"
755,VEGACHI [23107040],6.77236111,-74.79758333,630,"Cálido, T>=24°C, <=800meter"
795,LANDAZURI [23125130],6.22138889,-73.80888889,935,"Templado, 24°C>T>18°C, <=1800meter"
4047,SAN JACINTO [25027950],8.25,-74.71666667,35,"Cálido, T>=24°C, <=800meter"
2768,ORO EL [26230190],6.93333333,-75.76666667,2100,"Frío, 18°C>T>12°C, <=2800meter"
3187,MONTECRISANTO [29030520],9.94930556,-75.21719444,70,"Cálido, T>=24°C, <=800meter"
1283,PUENTE NEGRO  - AUT [26147140],4.98794444,-75.85891667,947,"Templado, 24°C>T>18°C, <=1800meter"
837,CORRIENTES [23085160],6.31194444,-75.25355556,1965,"Frío, 18°C>T>12°C, <=2800meter"
899,SAN ROQUE [23080760],6.4875,-75.017,820,"Templado, 24°C>T>18°C, <=1800meter"
951,MASCOTA LA [23107030],6.63963889,-74.87544444,970,"Templado, 24°C>T>18°C, <=1800meter"
2204,ESCALERETA LA [21040070],2.21666667,-75.68333333,700,"Cálido, T>=24°C, <=800meter"
915,PORTUGAL HACIENDA [23125110],6.5,-74.05,200,"Cálido, T>=24°C, <=800meter"
2369,NEGUA [11047030],5.83030556,-76.61919444,35,"Cálido, T>=24°C, <=800meter"
715,COCORNA [23080750],6.05333333,-75.18261111,1455,"Templado, 24°C>T>18°C, <=1800meter"
3110,ANORI [27025030],7.07191667,-75.15052778,1601,"Templado, 24°C>T>18°C, <=1800meter"
404,SAN JUAN [29060290],10.76666667,-74.16666667,25,"Cálido, T>=24°C, <=800meter"
867,CONCEPCION [23080740],6.39694444,-75.25916667,1280,"Templado, 24°C>T>18°C, <=1800meter"
4010,CAMPANARIO EL [16057060],8.01666667,-73.21666667,1440,"Templado, 24°C>T>18°C, <=1800meter"
2688,SOLEDAD LA [16057050],8.05,-73.21666667,1460,"Templado, 24°C>T>18°C, <=1800meter"
2258,MARIQUITA [23017050],5.2,-74.91666667,460,"Cálido, T>=24°C, <=800meter"
1253,BORREGO V RICA HACIENDA [35010050],3.96666667,-73.4,300,"Cálido, T>=24°C, <=800meter"
3472,BADILLO [28015080],10.66666667,-73.15,210,"Cálido, T>=24°C, <=800meter"
3279,SAN JOSE D ORIENTE [28025040],10.35,-73.05,850,"Templado, 24°C>T>18°C, <=1800meter"
3095,URUMITA [28015070],10.56638889,-73.01638889,255,"Cálido, T>=24°C, <=800meter"
3526,SANTA ROSA DE LIMA [29060100],10.40275,-74.108,75,"Cálido, T>=24°C, <=800meter"
1259,SANTA ISABEL [21255110],4.70175,-75.13183333,2817,"Muy Frío, 12°C>T>6°C, <=3700meter"
3517,MANAURE [28010040],10.39138889,-73.02527778,740,"Cálido, T>=24°C, <=800meter"
1056,BOCAS [22017010],3.47188889,-75.66694444,751,"Cálido, T>=24°C, <=800meter"
3463,BONGO EL [29060030],10.64877778,-74.3755,20,"Cálido, T>=24°C, <=800meter"
400,PALMOR EL [29060340],10.77344444,-74.02563889,1200,"Templado, 24°C>T>18°C, <=1800meter"
1542,SANTA BARBARA [21250480],4.90661111,-75.22019444,3371,"Muy Frío, 12°C>T>6°C, <=3700meter"
3137,TESORO EL [27020260],7.24677778,-75.30219444,10,"Cálido, T>=24°C, <=800meter"
2299,TINAJAS [21150030],3.56605556,-75.0625,290,"Cálido, T>=24°C, <=800meter"
3307,MOCARI [13077100],8.8,-75.85,14,"Cálido, T>=24°C, <=800meter"
314,VILLAHERMOSA [21255120],5.02,-75.12,2069,"Frío, 18°C>T>12°C, <=2800meter"
2374,SARDINAS LAS [22017020],3.43847222,-75.68658333,817,"Templado, 24°C>T>18°C, <=1800meter"
2072,PAN DE AZUCAR [22050080],3.37952778,-75.50813889,1800,"Templado, 24°C>T>18°C, <=1800meter"
948,PLAYA LA [11077030],6.61666667,-76.75,22,"Cálido, T>=24°C, <=800meter"
688,ANAIME [15047010],11.23333333,-73.05,31,"Cálido, T>=24°C, <=800meter"
3617,BAJO FRUTAL [21010130],1.81038889,-76.24669444,1660,"Templado, 24°C>T>18°C, <=1800meter"
401,CONEJO EL [15060150],10.77794444,-72.79819444,350,"Cálido, T>=24°C, <=800meter"
591,PAN GRANDE [15080100],11.1,-72.45,250,"Cálido, T>=24°C, <=800meter"
2552,PUENTE BOMBA [15047020],11.25205556,-73.16338889,14,"Cálido, T>=24°C, <=800meter"
3561,ESPERANZA LA [29060180],10.74252778,-74.30627778,25,"Cálido, T>=24°C, <=800meter"
2081,SANTIAGO PEREZ [22020050],3.39522222,-75.6045,732,"Cálido, T>=24°C, <=800meter"
1661,MARIA LA [26177060],5.6,-75.6,621,"Cálido, T>=24°C, <=800meter"
2136,CISNEROS [53110020],3.78197222,-76.75861111,368,"Cálido, T>=24°C, <=800meter"
1568,MINA LA [21080080],2.79305556,-75.632,1800,"Templado, 24°C>T>18°C, <=1800meter"
1219,SAN ANDRES [21050230],2.58180556,-76.04680556,1595,"Templado, 24°C>T>18°C, <=1800meter"
1098,PAEZ,5.09636111,-73.05322222,1350,"Templado, 24°C>T>18°C, <=1800meter"
2916,MALDONADO [23157080],7.20472222,-73.92666667,86,"Cálido, T>=24°C, <=800meter"
1312,YARUMAL [21050170],2.65238889,-75.75894444,1950,"Frío, 18°C>T>12°C, <=2800meter"
3644,CANDELA LA [21010140],1.86438889,-76.36083333,1940,"Frío, 18°C>T>12°C, <=2800meter"
1119,SANTA TERESA [21050240],2.46061111,-76.05419444,1600,"Templado, 24°C>T>18°C, <=1800meter"
2126,SAN VICENTE [21050160],2.31705556,-76.01013889,1745,"Templado, 24°C>T>18°C, <=1800meter"
1123,ALTAMIRA [21050250],2.501,-76.09516667,2235,"Frío, 18°C>T>12°C, <=2800meter"
1213,SAN LUIS [21050220],2.56588889,-75.92788889,1462,"Templado, 24°C>T>18°C, <=1800meter"
3650,VILLA FATIMA [21010160],1.89944444,-76.39416667,1724,"Templado, 24°C>T>18°C, <=1800meter"
1417,HERRERAS LAS [21080100],2.77283333,-75.61305556,1800,"Templado, 24°C>T>18°C, <=1800meter"
3705,OPORAPA [21040030],2.03094444,-76.10030556,1614,"Templado, 24°C>T>18°C, <=1800meter"
1133,HATILLO EL [21050140],2.51077778,-75.61566667,900,"Templado, 24°C>T>18°C, <=1800meter"
2263,CEDROS LOS [35080060],5.01361111,-73.20344444,1600,"Templado, 24°C>T>18°C, <=1800meter"
2041,LIMONAR EL [21197150],4.23255556,-74.62055556,405,"Cálido, T>=24°C, <=800meter"
2259,MIRAFLORES [35085010],5.2,-73.15,1750,"Templado, 24°C>T>18°C, <=1800meter"
439,PAEZ,5.08261111,-73.06841667,873,"Templado, 24°C>T>18°C, <=1800meter"
1522,SAN LUIS DE GACENO [35080070],4.81977778,-73.16986111,400,"Cálido, T>=24°C, <=800meter"
1401,DINDE [26030070],2.69741667,-76.75472222,1246,"Templado, 24°C>T>18°C, <=1800meter"
3809,PUERTO BOYACA [23117040],5.97833333,-74.56666667,350,"Cálido, T>=24°C, <=800meter"
4098,PORVENIR [44015020],1.18333333,-76.86666667,2230,"Frío, 18°C>T>12°C, <=2800meter"
4033,PRESA AY MATUYA [29035180],9.92847222,-75.27991667,60,"Cálido, T>=24°C, <=800meter"
2413,PACHAVITA [35070210],5.13925,-73.39563889,2160,"Frío, 18°C>T>12°C, <=2800meter"
3390,MORALES-LA CRUZ [23205040],8.28333333,-73.86666667,110,"Cálido, T>=24°C, <=800meter"
1738,PUENTE CABUYARITO [35107010],4.29563889,-72.86561111,168,"Cálido, T>=24°C, <=800meter"
1641,ARMENIA LA [21080090],2.85,-75.55,2700,"Frío, 18°C>T>12°C, <=2800meter"
187,SAN JUAN NECHI - AUT [27037030],7.475,-74.92083333,180,"Cálido, T>=24°C, <=800meter"
3817,HACIENDA LAS MARGARITAS [35125010],4.34055556,-72.15636111,150,"Cálido, T>=24°C, <=800meter"
1365,REP LOS MUCHACHOS [21205750],4.73333333,-74.16666667,2560,"Frío, 18°C>T>12°C, <=2800meter"
3972,VISO EL [35107020],4.35,-72.78333333,169,"Cálido, T>=24°C, <=800meter"
2233,CEJALITO [35135010],3.71666667,-72.35,200,"Cálido, T>=24°C, <=800meter"
1557,AGUASAL [11017010],5.47361111,-76.53775,75,"Cálido, T>=24°C, <=800meter"
4362,CABUYARO [35107030],4.28,-72.79,169,"Cálido, T>=24°C, <=800meter"
2641,CICUCO [25027560],9.38333333,-74.7,15,"Cálido, T>=24°C, <=800meter"
3552,SAGOC [25028140],8.93333333,-74.45,20,"Cálido, T>=24°C, <=800meter"
2315,BARRANCA DE UPIA [35105020],4.56666667,-72.96666667,225,"Cálido, T>=24°C, <=800meter"
463,PUERTO LOPEZ [25028200],8.98333333,-74.38333333,21,"Cálido, T>=24°C, <=800meter"
4074,MARIAS LAS [25028300],8.93333333,-74.16666667,24,"Cálido, T>=24°C, <=800meter"
2649,OROCHON [15070240],11.81163889,-72.19061111,100,"Cálido, T>=24°C, <=800meter"
2694,CABRERA LA [16057070],8.06666667,-73.23333333,1400,"Templado, 24°C>T>18°C, <=1800meter"
47,PUERTO CARMEN [25028230],8.81666667,-74.31666667,22,"Cálido, T>=24°C, <=800meter"
2019,AZULEJOS LOS [24030820],5.66372222,-73.21011111,2780,"Frío, 18°C>T>12°C, <=2800meter"
3903,CARMEN EL [25028080],9.01666667,-74.76666667,20,"Cálido, T>=24°C, <=800meter"
537,ZORRO 1 [25028380],9.03333333,-74.65,18,"Cálido, T>=24°C, <=800meter"
3380,CAMPO ALEGRE [25028250],8.88333333,-74.35,21,"Cálido, T>=24°C, <=800meter"
4087,QUINCHOA [47010080],1.15,-77.0,275,"Cálido, T>=24°C, <=800meter"
469,NEGRITOS LOS [25021200],9.02666667,-74.07944444,26,"Cálido, T>=24°C, <=800meter"
3441,SAN LUIS [25021370],8.88166667,-74.70805556,20,"Cálido, T>=24°C, <=800meter"
4061,PANELAS LAS [25028180],8.88333333,-74.46666667,20,"Cálido, T>=24°C, <=800meter"
634,SAN JAVIER [25028060],9.16666667,-74.66666667,17,"Cálido, T>=24°C, <=800meter"
474,SALTO EL [25028320],9.01666667,-74.0,27,"Cálido, T>=24°C, <=800meter"
873,VERDE LA [23120010],6.4125,-73.89972222,140,"Cálido, T>=24°C, <=800meter"
536,MAJATA [25027600],9.03333333,-74.65,18,"Cálido, T>=24°C, <=800meter"
4079,PLATANERA LA [25028280],8.95,-74.25,24,"Cálido, T>=24°C, <=800meter"
866,VIRGINIAS [23090020],6.39355556,-74.68180556,975,"Templado, 24°C>T>18°C, <=1800meter"
554,JAGUA [25028340],9.09666667,-74.65833333,18,"Cálido, T>=24°C, <=800meter"
1477,JAMURY [33065010],4.36666667,-69.16666667,154,"Cálido, T>=24°C, <=800meter"
611,LORENA LA [12010060],7.86305556,-76.68916667,10,"Cálido, T>=24°C, <=800meter"
3032,CABLE EL [16067020],8.67638889,-72.94972222,110,"Cálido, T>=24°C, <=800meter"
3394,RIO DE ORO [16050060],8.29305556,-73.38833333,1200,"Templado, 24°C>T>18°C, <=1800meter"
2753,GUACA [24030750],6.88111111,-72.85833333,2400,"Frío, 18°C>T>12°C, <=2800meter"
421,VEGA LA [23190540],7.65083333,-73.18055556,710,"Cálido, T>=24°C, <=800meter"
2096,COLOMBIANO EL [21205850],5.03388889,-73.84819444,2567,"Frío, 18°C>T>12°C, <=2800meter"
509,LA COSECHA - AUT [21205910],4.98922222,-74.00119444,2600,"Frío, 18°C>T>12°C, <=2800meter"
2845,DABEIBA 2  - AUT [11117050],7.00438889,-76.26638889,650,"Cálido, T>=24°C, <=800meter"
1523,SUASUQUE [21205920],4.82083333,-73.96388889,2650,"Frío, 18°C>T>12°C, <=2800meter"
3994,INDUQUIMICA [21205900],4.58333333,-74.23333333,2575,"Frío, 18°C>T>12°C, <=2800meter"
2256,CORZO EL [21205860],4.65,-74.2,2540,"Frío, 18°C>T>12°C, <=2800meter"
1369,SALITRE EL [21205870],4.73888889,-74.33427778,2570,"Frío, 18°C>T>12°C, <=2800meter"
1722,FLORES CHIBCHA [21205880],4.78972222,-74.26477778,2550,"Frío, 18°C>T>12°C, <=2800meter"
1532,VILLA ROSA [21205930],4.83333333,-74.1,2570,"Frío, 18°C>T>12°C, <=2800meter"
1344,CASABLANCA [21206060],4.71711111,-74.25333333,2575,"Frío, 18°C>T>12°C, <=2800meter"
2005,GUANATA [21205890],4.88594444,-74.05433333,2550,"Frío, 18°C>T>12°C, <=2800meter"
295,CHIGORODO [12017010],7.67305556,-76.68391667,20,"Cálido, T>=24°C, <=800meter"
3128,MUTATA  - AUT [11117040],7.22944444,-76.43805556,132,"Cálido, T>=24°C, <=800meter"
555,JOLON EL [25021290],9.10138889,-74.40888889,25,"Cálido, T>=24°C, <=800meter"
479,ANTILLAS LAS [15060260],10.88333333,-72.88333333,170,"Cálido, T>=24°C, <=800meter"
2722,PUEBLITO EL [25021500],9.58116667,-74.35225,35,"Cálido, T>=24°C, <=800meter"
628,BARRANCO DE YUCA [25021260],9.17388889,-74.85083333,70,"Cálido, T>=24°C, <=800meter"
1301,NUEVO PARAISO [21100080],2.61527778,-75.20669444,1525,"Templado, 24°C>T>18°C, <=1800meter"
636,JURISDICCIONES [16050140],7.85,-73.23333333,3850,"Extremadamente Frio, 6°C>T>0°C, <=4700meter"
543,CANDELARIA [25021270],9.07305556,-74.52555556,20,"Cálido, T>=24°C, <=800meter"
2726,MECHA LA [25021190],9.62294444,-74.59563889,100,"Cálido, T>=24°C, <=800meter"
4326,EL SUDAN [25021320],8.64,-74.21,23,"Cálido, T>=24°C, <=800meter"
1702,PALMERA LA [26070770],3.33333333,-76.16666667,2130,"Frío, 18°C>T>12°C, <=2800meter"
2153,PUENTE COLACHE [22057070],3.79002778,-75.20266667,372,"Cálido, T>=24°C, <=800meter"
2715,TACAMOCHO [25027940],9.49358333,-74.81538889,14,"Cálido, T>=24°C, <=800meter"
2682,LLANO SUAREZ [16050160],8.05,-73.23333333,1650,"Templado, 24°C>T>18°C, <=1800meter"
2606,MOMPOS [25021350],9.26277778,-74.43555556,20,"Cálido, T>=24°C, <=800meter"
4473,GUAYABO [21117080],2.92,-75.15,650,"Cálido, T>=24°C, <=800meter"
2681,TEJA LA [16050090],8.05,-73.23333333,1300,"Templado, 24°C>T>18°C, <=1800meter"
1106,ARCADIA LA [21100140],2.43480556,-75.40088889,1380,"Templado, 24°C>T>18°C, <=1800meter"
1317,PUENTE CARRETERA [21087060],2.65,-75.56666667,650,"Cálido, T>=24°C, <=800meter"
1405,PALCO EL [21100120],2.7,-75.23333333,880,"Templado, 24°C>T>18°C, <=1800meter"
1305,JARDIN EL HACIENDA [21087070],2.63061111,-75.55558333,585,"Cálido, T>=24°C, <=800meter"
2607,LIMON EL [25021300],9.27388889,-74.64638889,20,"Cálido, T>=24°C, <=800meter"
556,GUAYMARAL [25021330],9.11544444,-74.61347222,20,"Cálido, T>=24°C, <=800meter"
41,UNION LA [25027980],8.7,-74.31666667,23,"Cálido, T>=24°C, <=800meter"
458,POZON EL [25021310],9.00416667,-74.40583333,20,"Cálido, T>=24°C, <=800meter"
3121,TASCON [11117030],7.08333333,-76.41666667,300,"Cálido, T>=24°C, <=800meter"
1820,VOLCAN EL [21120100],2.865,-75.56638889,1105,"Templado, 24°C>T>18°C, <=1800meter"
1302,ROMELIA LA [26030080],2.62280556,-76.89511111,2502,"Frío, 18°C>T>12°C, <=2800meter"
4350,COYONGAL [25027930],8.94999722,-74.49,20,"Cálido, T>=24°C, <=800meter"
1346,GUAMO-MILAN [21187060],4.03333333,-74.98333333,304,"Cálido, T>=24°C, <=800meter"
2346,MECAJE [53070020],2.48333333,-77.1,110,"Cálido, T>=24°C, <=800meter"
2662,SOCOMBA [28025080],9.68666667,-73.24055556,170,"Cálido, T>=24°C, <=800meter"
2941,PROVINCIA [23195170],7.4025,-73.435,109,"Cálido, T>=24°C, <=800meter"
602,LIBANO EL [23190110],7.83805556,-73.42805556,164,"Cálido, T>=24°C, <=800meter"
2870,PORTILLO EL [37010060],7.02777778,-72.80444444,3824,"Extremadamente Frio, 6°C>T>0°C, <=4700meter"
3354,SAN RAFAEL [23190560],7.57444444,-73.55972222,84,"Cálido, T>=24°C, <=800meter"
2828,CENTENARIO HACIENDA [28025090],9.85025,-73.26547222,100,"Cálido, T>=24°C, <=800meter"
1731,LA NUEVA - AUT [21257100],4.79508333,-74.97194444,570,"Cálido, T>=24°C, <=800meter"
425,PUERTO BELGICA [26240090],7.66830556,-75.28444444,80,"Cálido, T>=24°C, <=800meter"
