Station,Date,Value
28040310,1974,
28040310,1975,
28040310,1976,
28040310,1977,76
28040310,1978,
28040310,1979,
28040310,1980,
28040310,1981,136
28040310,1982,94
28040310,1983,109
28040310,1984,95
28040310,1985,92
28040310,1986,87
28040310,1987,72
28040310,1988,160
28040310,1989,82
28040310,1990,95
28040310,1991,90
28040310,1992,74
28040310,1993,105
28040310,1994,95
28040310,1995,85
28040310,1996,164
28040310,1997,75
28040310,1998,55
28040310,1999,114
28040310,2000,87
28040310,2001,82
28040310,2002,86
28040310,2003,90
28040310,2004,72
28040310,2005,74
28040310,2006,90
28040310,2007,80
28040310,2008,140
28040310,2009,
28040350,1959,
28040350,1960,
28040350,1961,
28040350,1962,
28040350,1963,
28040350,1964,
28040350,1965,
28040350,1966,
28040350,1967,
28040350,1968,
28040350,1969,
28040350,1970,
28040350,1971,
28040350,1972,47
28040350,1973,70
28040350,1974,90
28040350,1975,140
28040350,1976,151
28040350,1977,102
28040350,1978,97
28040350,1979,140
28040350,1980,80
28040350,1981,99
28040350,1982,112
28040350,1983,120
28040350,1984,84
28040350,1985,99.8
28040350,1986,75.2
28040350,1987,122.6
28040350,1988,89.5
28040350,1989,73.5
28040350,1990,85.3
28040350,1991,107.5
28040350,1992,130
28040350,1993,117.3
28040350,1994,95
28040350,1995,80.5
28040350,1996,146.5
28040350,1997,56.8
28040350,1998,103
28040350,1999,113.5
28040350,2000,88.8
28040350,2001,55.5
28040350,2002,104.5
28040350,2003,27.3
28040350,2004,87.8
28040350,2005,119
28040350,2006,133.5
28040350,2007,67.5
28040350,2008,110.7
28040350,2009,96
28045040,1959,
28045040,1960,
28045040,1961,
28045040,1962,
28045040,1963,
28045040,1964,
28045040,1965,
28045040,1966,
28045040,1967,
28045040,1968,
28045040,1969,
28045040,1970,
28045040,1971,
28045040,1972,
28045040,1973,
28045040,1974,
28045040,1975,
28045040,1976,
28045040,1977,
28045040,1978,
28045040,1979,
28045040,1980,
28045040,1981,
28045040,1982,
28045040,1983,
28045040,1984,
28045040,1985,
28045040,1986,
28045040,1987,
28045040,1988,84.5
28045040,1989,67
28045040,1990,68
28045040,1991,
28045040,1992,106
28045040,1993,66
28045040,1994,
28045040,1995,
28045040,1996,
28045040,1997,
28045040,1998,
28045040,1999,
28045040,2000,
28045040,2001,
28045040,2002,
28045040,2003,
28045040,2004,
28045040,2005,
28045040,2006,
28045040,2007,
28045040,2008,
28045040,2009,
