CODIGO,NOMBRE,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INSTALACION,FECHA_SUSPENSION,ALTITUD,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,AREA_OPERATIVA,ENTIDAD,AREA_HIDROGRAFICA,ZONA_HIDROGRAFICA,SUBZONA_HIDROGRAFICA,CORRIENTE,Catalogo,Version,station,n
16017030,LA UCHEMA - AUT [16017030],Limnigráfica,Automática con Telemetría,Suspendida,15/10/1981,13/07/2018,520,7.694222222,-72.474,Norte De Santander,Villa Del Rosario,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Pamplonita,Tachira,CNE_IDEAM,20251226,16017030,5
1602500044,GRAMALOTE - AUT   [1602500044],Climatológica Principal,Automática con Telemetría,Activa,29/06/2017,,1214,7.913166667,-72.803027778,Norte De Santander,Gramalote,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Zulia,,CNE_IDEAM,20251226,1602500044,6
1602500063,MUTISCUA - AUT [1602500063],Climatológica Principal,Automática con Telemetría,En Mantenimiento,26/08/2018,,2680,7.299088889,-72.745761111,Norte De Santander,Mutiscua,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Zulia,,CNE_IDEAM,20251226,1602500063,5
1602500110,ARBOLEDAS - AUT   [1602500110],Climatológica Principal,Automática con Telemetría,Activa,28/12/2017,,971,7.646281,-72.799007,Norte De Santander,Arboledas,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Zulia,,CNE_IDEAM,20251226,1602500110,6
16025040,CINERA-VILLA OLGA AUT [16025040],Climatológica Principal,"Automática con Telemetría, Convencional",Activa,15/09/1965,,96,8.16728,-72.47878,Norte De Santander,Cúcuta,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Zulia,,CNE_IDEAM,20251226,16025040,7
16025501,CUCUTILLA  - AUT  [16025501],Climatológica Principal,Automática con Telemetría,Activa,16/05/2013,,1629,7.519455556,-72.79790278,Norte De Santander,Cucutilla,Area Operativa 08 - Santanderes-Arauca,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,Caribe,Catatumbo,Río Zulia,,CNE_OE,20251226,16025501,7
16025503,GRAMALOTE  - AUT  [16025503],Climatológica Principal,Automática con Telemetría,Activa,14/05/2013,,1761,7.923163889,-72.83375556,Norte De Santander,Gramalote,Area Operativa 08 - Santanderes-Arauca,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,Caribe,Catatumbo,Río Zulia,,CNE_OE,20251226,16025503,8
16027120,SAN JAVIER/PUENTE ZULIA - AUT [16027120],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,15/07/1958,05/08/2025,270,7.833888889,-72.65027778,Norte De Santander,Durania,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Zulia,Zulia,CNE_IDEAM,20251226,16027120,8
16027280,ASTILLEROS - AUT [16027280],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,15/09/1992,,140,8.105277778,-72.58138889,Norte De Santander,Cúcuta,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Zulia,Zulia,CNE_IDEAM,20251226,16027280,5
16027300,PUENTE CAPIRA - AUT [16027300],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,15/11/2004,,1320,7.537194444,-72.77113889,Norte De Santander,Cucutilla,Area Operativa 08 - Santanderes-Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Catatumbo,Río Zulia,Zulia,CNE_IDEAM,20251226,16027300,13
