station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
11047040,edf_chegodayev,nakagami,0.1039676884215221,0.351490473531,Δo > Δ,1,13,1,10
11047040,edf_adamowski,nakagami,0.1056260632142253,0.351490473531,Δo > Δ,1,13,1,11
11047040,edf_weibull,nakagami,0.1135625711507332,0.351490473531,Δo > Δ,1,13,1,12
11080010,edf_weibull,logbetaprime,0.0938345509270758,0.5865427407550001,Δo > Δ,1,5,1,1
11080010,edf_adamowski,logbetaprime,0.097238152953895,0.5865427407550001,Δo > Δ,1,5,1,2
11080010,edf_chegodayev,logbetaprime,0.1039721596879017,0.5865427407550001,Δo > Δ,1,5,1,3
11080010,edf_jenkinson,logbetaprime,0.1053490012134422,0.5865427407550001,Δo > Δ,1,5,1,4
11080010,edf_beard,logbetaprime,0.1053490012134422,0.5865427407550001,Δo > Δ,1,5,1,5
11080010,edf_filliben,logbetaprime,0.1063883690006628,0.5865427407550001,Δo > Δ,1,5,1,6
11080010,edf_tukey,logbetaprime,0.1086017893175314,0.5865427407550001,Δo > Δ,1,5,1,7
11080010,edf_hazen,nakagami,0.11418382166399,0.5865427407550001,Δo > Δ,1,5,1,8
11080010,edf_blom,logbetaprime,0.1145541702699123,0.5865427407550001,Δo > Δ,1,5,1,9
11080010,edf_cunnane,logbetaprime,0.1182171739329158,0.5865427407550001,Δo > Δ,1,5,1,10
11080010,edf_gringorten,nakagami,0.11887132166399,0.5865427407550001,Δo > Δ,1,5,1,11
11080010,edf_california,invgauss,0.1581551710492487,0.5865427407550001,Δo > Δ,1,5,1,12
11105020,edf_hazen,laplace_asymmetric,0.0596838137673669,0.5865427407550001,Δo > Δ,1,5,1,1
11105020,edf_gringorten,laplace_asymmetric,0.0609018504265899,0.5865427407550001,Δo > Δ,1,5,1,2
11105020,edf_tukey,mielke,0.0613853922778975,0.5865427407550001,Δo > Δ,1,5,1,3
11105020,edf_filliben,mielke,0.0613853922778975,0.5865427407550001,Δo > Δ,1,5,1,4
11105020,edf_chegodayev,mielke,0.0613853922778975,0.5865427407550001,Δo > Δ,1,5,1,5
11105020,edf_jenkinson,mielke,0.0613853922778975,0.5865427407550001,Δo > Δ,1,5,1,6
11105020,edf_beard,mielke,0.0613853922778975,0.5865427407550001,Δo > Δ,1,5,1,7
11105020,edf_blom,loggenlogistic,0.0621420936299823,0.5865427407550001,Δo > Δ,1,5,1,8
11105020,edf_cunnane,laplace_asymmetric,0.0639066581188976,0.5865427407550001,Δo > Δ,1,5,1,9
11105020,edf_adamowski,mielke,0.0678006069818986,0.5865427407550001,Δo > Δ,1,5,1,10
11105020,edf_weibull,genlogistic,0.095979449380198,0.5865427407550001,Δo > Δ,1,5,1,11
11105020,edf_california,logpearson3,0.1423429590606951,0.5865427407550001,Δo > Δ,1,5,1,12
1111500036,edf_adamowski,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,1
1111500036,edf_cunnane,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,2
1111500036,edf_jenkinson,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,3
1111500036,edf_filliben,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,4
1111500036,edf_gringorten,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,5
1111500036,edf_tukey,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,6
1111500036,edf_blom,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,7
1111500036,edf_chegodayev,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,8
1111500036,edf_beard,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,9
1111500036,edf_weibull,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,10
1111500036,edf_hazen,gumbel_l,0.1294589077707653,0.5865427407550001,Δo > Δ,1,5,1,11
1111500036,edf_california,gumbel_r,0.1983084067562487,0.5865427407550001,Δo > Δ,1,5,1,12
11117050,edf_weibull,logbetaprime,0.1256254374800867,0.5865427407550001,Δo > Δ,1,5,1,1
11117050,edf_hazen,logloggamma,0.1427173269237444,0.5865427407550001,Δo > Δ,1,5,1,2
